               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.071371,            0.029965,                   0,             0.11725,             0.41022,             0.13498,            0.032659,              0.0567,            0.015247,                   0,            0.070048,            0.003328,            0.003328
                   1,            0.048861,            0.015859,                   0,             0.20742,              0.1979,             0.10248,            0.029373,            0.057938,            0.011666,                   0,            0.039916,           0.0065294,           0.0065294
                   2,            0.044907,            0.013061,                   0,             0.43758,             0.49672,             0.37332,             0.10912,            0.046769,            0.011867,                   0,           0.0096521,           0.0095989,           0.0095989
                   3,            0.040896,            0.012442,                   0,             0.38748,             0.41809,             0.30446,            0.087804,            0.043177,            0.011642,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.037181,            0.011965,                   0,             0.71363,              0.6422,             0.68946,             0.30827,            0.033317,            0.011416,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.034343,            0.010895,                   0,             0.66847,             0.67366,               0.714,             0.28331,            0.034167,            0.010729,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.033557,             0.01035,                   0,             0.72972,             0.63827,             0.70765,             0.33229,            0.034021,            0.010365,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.031837,            0.010117,                   0,             0.67248,             0.63172,             0.67889,             0.30178,            0.032872,            0.010507,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.030534,           0.0096823,                   0,             0.68828,             0.63663,             0.68523,             0.27304,            0.032884,            0.010049,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.029476,           0.0095903,                   0,             0.74532,             0.73259,             0.79132,             0.39492,            0.028197,           0.0092033,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.028003,           0.0090219,                   0,             0.79835,             0.68491,             0.80011,             0.35916,            0.028913,             0.00893,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.028491,           0.0092876,                   0,             0.74279,             0.69987,             0.76572,             0.34436,            0.031608,           0.0090957,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.028015,           0.0085471,                   0,             0.79486,             0.69594,             0.78771,             0.38194,            0.028425,           0.0087165,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.026742,           0.0084161,                   0,             0.78267,             0.69382,             0.78792,             0.34397,            0.028758,           0.0088229,                   0,            0.007624,            0.007624,            0.007624
                  14,             0.02577,           0.0084203,                   0,             0.78053,             0.70118,             0.77965,             0.36885,            0.028391,           0.0092295,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.026515,           0.0084971,                   0,             0.77505,             0.75098,             0.80003,             0.39955,            0.027809,           0.0088872,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.025701,           0.0080325,                   0,             0.77089,             0.73919,             0.81086,             0.40328,            0.027151,           0.0086752,                   0,             0.00703,             0.00703,             0.00703
                  17,             0.02583,            0.007905,                   0,             0.72256,              0.7536,             0.78552,             0.41264,            0.026737,           0.0088214,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.024321,           0.0078293,                   0,             0.77233,              0.7425,             0.81805,             0.40356,            0.027504,           0.0084599,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.024275,           0.0078823,                   0,             0.79972,             0.72215,             0.81998,             0.41577,            0.027551,           0.0088334,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.023642,           0.0075779,                   0,             0.74368,             0.72739,             0.79794,             0.41022,            0.026586,           0.0088051,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.023929,           0.0079211,                   0,             0.77127,             0.74443,             0.81336,             0.38038,             0.02704,           0.0084992,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.023256,           0.0078259,                   0,             0.78444,             0.75754,             0.82398,             0.44182,            0.025315,           0.0083731,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.022238,           0.0074515,                   0,             0.77347,             0.76075,             0.82513,             0.39474,            0.026502,           0.0082571,                   0,            0.005644,            0.005644,            0.005644
